Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C29,100n,C_0402_1005Metric,58.2,-87.31875,90.0,bottom
C30,220pF NP0,C_0402_1005Metric,63.401824,-88.73393,90.0,bottom
C31,100n,C_0402_1005Metric,76.99375,-81.75625,270.0,bottom
C32,100n,C_0402_1005Metric,166.6875,-81.8642,270.0,bottom
C33,100nF,C_0402_1005Metric,60.752074,-76.647788,90.0,bottom
C34,100nF,C_0402_1005Metric,62.070331,-82.698076,270.0,bottom
C35,100nF,C_0402_1005Metric,51.990908,-76.628536,90.0,bottom
C36,100nF,C_0402_1005Metric,59.395,-75.269941,0.0,bottom
C37,10uF,C_0603_1608Metric,62.100319,-76.096651,90.0,bottom
C38,100n,C_0402_1005Metric,51.990908,-85.245,270.0,bottom
C39,1u,C_0402_1005Metric,63.13,-82.698076,270.0,bottom
C40,100nF,C_0402_1005Metric,62.605811,-81.215986,180.0,bottom
C41,1uF,C_0402_1005Metric,129.53125,-45.5575,90.0,bottom
C42,1uF,C_0402_1005Metric,124.61875,-45.5575,90.0,bottom
C44,100nF,C_0402_1005Metric,129.38125,-41.4625,0.0,bottom
F3,ASMD1206-150,Fuse_1206_3216Metric,129.38125,-38.2875,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,127.0,-26.86,180.0,bottom
R1,100,R_0402_1005Metric,46.5475,-80.96875,0.0,bottom
R13,100k,R_0402_1005Metric,61.56875,-85.98125,0.0,bottom
R14,1k,R_0402_1005Metric,58.2,-89.30625,90.0,bottom
R16,100k,R_0402_1005Metric,76.99375,-83.85375,90.0,bottom
R17,100k,R_0402_1005Metric,83.34375,-88.9,270.0,bottom
R18,100k,R_0402_1005Metric,81.75625,-80.69375,0.0,bottom
R19,100k,R_0402_1005Metric,76.99375,-85.725,270.0,bottom
R2,100,R_0402_1005Metric,46.5475,-78.96875,0.0,bottom
R20,10k,R_0402_1005Metric,57.43375,-75.269941,180.0,bottom
R21,100k,R_0402_1005Metric,87.3125,-85.725,270.0,bottom
R24,100k,R_0402_1005Metric,166.6875,-84.42125,90.0,bottom
R25,100k,R_0402_1005Metric,172.6375,-80.8017,0.0,bottom
R26,100k,R_0402_1005Metric,171.45,-89.00795,270.0,bottom
R27,100k,R_0402_1005Metric,170.65625,-80.8017,180.0,bottom
R28,100k,R_0402_1005Metric,177.00625,-84.6475,90.0,bottom
R29,5.1k,R_0402_1005Metric,120.65,-26.19375,180.0,bottom
R3,100,R_0402_1005Metric,53.613691,-74.493826,90.0,bottom
R30,5.1k,R_0402_1005Metric,133.35,-26.19375,0.0,bottom
R4,100,R_0402_1005Metric,46.5475,-81.95625,0.0,bottom
U11,PRTR5V0U2X,SOT-143,127.0,-33.3375,180.0,bottom
U5,OPA354,SOT-23-5,60.775,-88.2625,0.0,bottom
U6,74HC4051,TSSOP16,82.55,-84.93125,270.0,bottom
U7,74HC4051,TSSOP16,171.45,-85.0392,270.0,bottom
U8,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,56.35625,-80.9625,0.0,bottom
U9,XC6206PxxxMR-Regulator_Linear,SOT-23,127.0,-45.5575,180.0,bottom
