Comment,Designator,Footprint,LCSC,Quantity
RST,SW3,SW_T1A2QR,C100056,1
1k,"R10,R11,R12",R_0402_1005Metric,C11702,3
BQ24075,U7,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464,1
12p,"C10,C9",C_0402_1005Metric,C1547,2
SM04B,J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
750 mA,F2,Fuse_1206_3216Metric,C20792,1
4u7,"C12,C13,C15,C18,C7,C8",C_0402_1005Metric,C23733,6
100R,R3,R_0402_1005Metric,C25076,1
100K,R4,R_0402_1005Metric,C25530,1
10k,"R1,R13,R2,R8",R_0402_1005Metric,C25744,4
47k,R14,R_0402_1005Metric,C25792,1
1k5,R15,R_0402_1005Metric,C25867,1
2k2,R16,R_0402_1005Metric,C25879,1
MAX17048,U6,DFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.6mm,C2682616,1
IND,LED1,LED_1206R,C2802677,1
100n,C17,C_0402_1005Metric,C307331,1
nRF52840_E73-2G4M08S1C,U1,nRF52840_E73-2G4M08S1C,C356849,1
SW_SPDT,SW4,SW_MSK12C02-HB,C431540,1
78171-0002,J3,Molex_Pico-EZmate_78171-0002_1x02-1MP_P1.20mm_Vertical,C505023,1
1u,"C14,C16,C19,C6",C_0402_1005Metric,C52923,4
32.768 KHz,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,C55208,1
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D34,D35,D37,D4,D40,D5,D6,D7,D8,D9",D_SOD-123F,C81598,36
2N7002,Q1,SOT-23,C8545,1
BLM15PX121SN1D,L2,L_0402_1005Metric,C88970,1
10 uH,L1,L_0603_1608Metric,C92982,1
